"","PlayerName","pos","points","value"
"1","Jamaal Charles","rb",236.975,52.8364806821318
"2","LeSean McCoy","rb",235.935,52.3883701305386
"3","Adrian Peterson","rb",222.175,46.4595228325366
"4","Peyton Manning","qb",362.408,43.6247927181794
"5","Matt Forte","rb",214.55,43.1740969134039
"6","Eddie Lacy","rb",205.49,39.2703646081788
"7","Calvin Johnson","wr",149.53,37.1289132221998
"8","Aaron Rodgers","qb",345.22,36.2189041020414
"9","Demaryius Thomas","wr",147.28,36.1594432788492
"10","Marshawn Lynch","rb",194.285,34.4424042902927
"11","Jimmy Graham","te",136.415,33.0162062847413
"12","Drew Brees","qb",337.03,32.6900335082451
"13","Montee Ball","rb",189.75,32.4883837600282
"14","DeMarco Murray","rb",187.68,31.5964714121456
"15","Alfred Morris","rb",186.91,31.2646972537545
"16","Le'Veon Bell","rb",186.64,31.1483608605524
"17","Doug Martin","rb",184.775,30.3447779963974
"18","Julio Jones","wr",132.785,29.9139024660193
"19","Dez Bryant","wr",132.5,29.7911029398616
"20","Arian Foster","rb",183.255,29.6898471902227
"21","Zac Stacy","rb",181.435,28.9056537249347
"22","A.J. Green","wr",128.76,28.1796284562476
"23","Brandon Marshall","wr",127.405,27.5957921125854
"24","Giovani Bernard","rb",175.75,26.4561263347354
"25","Jordy Nelson","wr",122.33,25.4090987959167
"26","Alshon Jeffery","wr",120.925,24.8037186757356
"27","Toby Gerhart","rb",170.75,24.3017486828452
"28","Antonio Brown","wr",116.37,22.8410806348636
"29","Julius Thomas","te",111.29,22.1904585839927
"30","Randall Cobb","wr",113.055,21.4127282516603
"31","Bishop Sankey","rb",161.115,20.1502629476526
"32","Colin Kaepernick","qb",307.672,20.0403896874062
"33","Ryan Mathews","rb",160.04,19.6870717524962
"34","Larry Fitzgerald","wr",108.44,19.4242376789656
"35","Frank Gore","rb",158.265,18.9222676860752
"36","Vincent Jackson","wr",106.935,18.7757700057466
"37","Rob Gronkowski","te",102.785,18.5258621981273
"38","Matthew Stafford","qb",303.47,18.2298507087576
"39","Stephen Gostkowski","k",180.7,18.1488461090465
"40","Andre Ellington","rb",156.35,18.0971410454012
"41","Cordarrelle Patterson","wr",104.19,17.5930166748589
"42","Michael Crabtree","wr",102.475,16.8540651402605
"43","Vernon Davis","te",98.325,16.6041573326412
"44","Keenan Allen","wr",101.67,16.5072103383062
"45","Nick Foles","qb",298.804,16.2193854840136
"46","C.J. Spiller","rb",151.145,15.8544339097834
"47","Wes Welker","wr",99.515,15.5786735703414
"48","Andre Johnson","wr",99.155,15.4235583794054
"49","Andrew Luck","qb",296.91,15.4033072294776
"50","Robert Griffin III","qb",296.744,15.3317818914349
"51","Percy Harvin","wr",98.77,15.2576713002098
"52","Stevan Ridley","rb",149.235,15.0314616467613
"53","Rashad Jennings","rb",147.87,14.4433165477953
"54","Cam Newton","qb",294.292,14.2752750909479
"55","Pierre Garcon","wr",95.925,14.0318304162842
"56","Roddy White","wr",95.485,13.8422451829179
"57","Michael Floyd","wr",95.37,13.7926944969244
"58","Trent Richardson","rb",146.24,13.7409894332791
"59","Victor Cruz","wr",94.99,13.6289617953808
"60","Ray Rice","rb",145.88,13.585874242343
"61","Reggie Bush","rb",145.45,13.4005977642804
"62","Chris Johnson","rb",145.38,13.3704364771539
"63","Phil Dawson","k",169.3,13.2368650627367
"64","Joique Bell","rb",144.815,13.1269918024903
"65","Ben Tate","rb",144.775,13.1097567812752
"66","DeSean Jackson","wr",92.895,12.7262775592387
"67","Justin Tucker","k",167.8,12.5905517671697
"68","Torrey Smith","wr",89.65,11.328086463162
"69","Matt Ryan","qb",286.902,11.091104921454
"70","Steven Hauschka","k",163.9,10.9101371986952
"71","Adam Vinatieri","k",163.5,10.737786986544
"72","Jeremy Maclin","wr",87.145,10.2487432595649
"73","Mason Crosby","k",162,10.0914736909769
"74","Tom Brady","qb",283.894,9.79503132607685
"75","Mike Wallace","wr",86.065,9.78339768675663
"76","Ty Hilton","wr",85.48,9.53133550148547
"77","Emmanuel Sanders","wr",85.17,9.39776408706827
"78","Jason Witten","te",81.545,9.37406593289748
"79","Julian Edelman","wr",85.035,9.33959589046724
"80","Marques Colston","wr",84.785,9.23187700787272
"81","Golden Tate","wr",84.225,8.99058671086101
"82","Dan Bailey","k",159.4,8.971197311994
"83","Matt Prater","k",159.1,8.84193465288058
"84","Nick Novak","k",158.5,8.58340933465375
"85","Dennis Pitta","te",78.79,8.18700384670593
"86","Jordan Cameron","te",78.4,8.0189623898585
"87","Shayne Graham","k",156.4,7.67857072085984
"88","Matt Bryant","k",156.4,7.67857072085984
"89","Jordan Reed","te",77.14,7.47605922158215
"90","Eric Decker","wr",80.235,7.27139334465258
"91","Kyle Rudolph","te",76.435,7.17229197266562
"92","Terrance Williams","wr",79.4,6.9116122767869
"93","Steven Jackson","rb",129.985,6.73710768698379
"94","Sammy Watkins","wr",78.63,6.5798381183958
"95","Kendall Wright","wr",78.155,6.37517224146622
"96","Tony Romo","qb",275.45,6.15671834756456
"97","Greg Olsen","te",73.835,6.05201559368268
"98","Shane Vereen","rb",127.53,5.67930825990567
"99","Tavon Austin","wr",75.595,5.2721308836984
"100","Russell Wilson","qb",273.342,5.24843272952762
"101","Robbie Gould","k",149.4,4.66244200821346
"102","Rueben Randle","wr",72.45,3.91702734065942
"103","Maurice Jones-Drew","rb",123.18,3.80499970276113
"104","Zach Ertz","te",68.24,3.64126700121747
"105","Reggie Wayne","wr",71.785,3.63049511295802
"106","Riley Cooper","wr",71.575,3.54001125157862
"107","Mike Evans","wr",71.505,3.50984996445216
"108","Marvin Jones","wr",71.255,3.40213108185765
"109","Jay Cutler","qb",268.534,3.17678317946994
"110","Dwayne Bowe","wr",70.225,2.95832928556826
"111","Alex Henery","k",145.2,2.85276478062563
"112","Blair Walsh","k",145.2,2.85276478062563
"113","Shaun Suisham","k",144.1,2.37880169720977
"114","Martellus Bennett","te",65.145,2.3077072346974
"115","Kenny Stills","wr",68.67,2.28831783583038
"116","Brandin Cooks","wr",68.38,2.16336393202075
"117","Philip Rivers","qb",265.314,1.78936397165262
"118","Ladarius Green","te",63.37,1.54290316827635
"119","Anquan Boldin","wr",66.84,1.49981561523854
"120","Delanie Walker","te",63.105,1.42872115272616
"121","Eric Ebron","te",62.845,1.31669351482787
"122","Cecil Shorts","wr",66.28,1.25852531822683
"123","Hakeem Nicks","wr",65.745,1.02800690947457
"124","Ben Roethlisberger","qb",263.482,1
"125","Jay Feely","k",140.9,1
"126","Fred Jackson","rb",116.67,1
"127","DeAndre Hopkins","wr",65.68,1
"128","Heath Miller","te",62.11,1
